BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV
0.00000,0,21,1,0.90241,-0.01022,0,0.87552,0.84722,0.24097,3473,1169.60364,1,0.88988,0.07189,-0.04787,-0.07482,0.64483,0.31114,0.86494,15.88340,1,0.90017,0.01197,1.07659,0.00349,1,1,0.01051,-0.07691,0.59379,0.55051,0.89661,15.94966,1,0.90466,-0.03241,1.07659,0.00380,1,1
0.00000,0,21,1,0.88449,0.03908,0,0.87552,0.84722,0.09387,3474,1169.85132,1,0.88265,0.07973,-0.04879,-0.07435,0.63915,0.30594,0.86609,15.91850,1,0.86878,0.05362,1.03614,0.00344,1,1,0.01051,-0.07691,0.59379,0.54634,0.89438,15.88085,1,0.90019,0.02453,1.04968,0.00386,1,1
0.00000,0,21,1,0.89255,0.00990,0,0.87552,0.84722,0.09973,3474,1169.85132,1,0.88327,0.07537,-0.04951,-0.07516,0.64608,0.30575,0.86610,15.49859,1,0.87450,0.02401,1.06305,0.00354,1,1,0.01051,-0.07691,0.59379,0.54608,0.89419,16.01473,1,0.91059,-0.00422,1.07659,0.00379,1,1
0.00000,0,21,1,0.90570,0.01176,0,0.87552,0.84722,0.10645,3474,1169.85132,1,0.88459,0.07162,-0.04951,-0.07516,0.64608,0.30532,0.86602,15.76125,1,0.89915,0.01740,1.07659,0.00341,1,1,0.01051,-0.07691,0.59379,0.54581,0.89397,15.88378,1,0.91225,0.00613,1.07659,0.00386,1,1
0.00000,0,21,1,0.88480,0.00865,0,0.87552,0.84722,0.11328,3474,1169.85132,1,0.88460,0.06813,-0.04951,-0.07516,0.64608,0.30505,0.86610,15.88490,1,0.87522,0.01971,1.07659,0.00339,1,1,0.01051,-0.07691,0.59379,0.54559,0.89389,16.00813,1,0.89437,-0.00242,1.07659,0.00383,1,1
0.00000,0,21,1,0.88480,0.00865,0,0.87552,0.84722,0.11987,3474,1169.85132,1,0.88461,0.06500,-0.04935,-0.07463,0.64153,0.30498,0.86609,15.60361,1,0.87522,0.01971,1.07659,0.00354,1,1,0.01051,-0.07691,0.59379,0.54542,0.89382,16.02631,1,0.89437,-0.00242,1.07659,0.00395,1,1
0.00000,0,21,1,0.90424,0.01556,0,0.87552,0.84722,0.12659,3474,1169.85132,1,0.88559,0.06252,-0.04935,-0.07463,0.64153,0.30445,0.86609,15.78415,1,0.89174,0.01501,1.07659,0.00345,1,1,0.01051,-0.07691,0.59379,0.54510,0.89364,16.04456,1,0.91673,0.01611,1.07659,0.00383,1,1
0.00000,0,21,1,0.91523,0.00089,0,0.87552,0.84722,0.13354,3474,1169.85132,1,0.88700,0.05959,-0.04935,-0.07463,0.64153,0.30426,0.86599,15.96577,1,0.92249,0.00766,1.07659,0.00344,1,1,0.01051,-0.07691,0.59379,0.54495,0.89343,16.01456,1,0.90796,-0.00588,1.07659,0.00380,1,1
0.00000,0,21,1,0.91523,0.00089,0,0.87552,0.84722,0.14014,3474,1169.85132,1,0.88829,0.05692,-0.04869,-0.07334,0.63047,0.30412,0.86595,15.84869,1,0.92249,0.00766,1.07659,0.00346,1,1,0.01051,-0.07691,0.59379,0.54474,0.89315,15.94554,1,0.90796,-0.00588,1.07659,0.00391,1,1
0.00000,0,21,1,0.89865,0.00419,0,0.87552,0.84722,0.14746,3474,1169.85132,1,0.88874,0.05463,-0.04869,-0.07334,0.63047,0.30367,0.86585,15.49091,1,0.89836,0.01326,1.07659,0.00349,1,1,0.01051,-0.07691,0.59379,0.54450,0.89295,16.05280,1,0.89893,-0.00487,1.07659,0.00397,1,1
