participant_id,question_id,part,min,max,t_ij,valid_data,censored,LB,is_valid_time,invalid_time
participant_5,Q6,Part 2,5075.5786,5122.916,47.337402,True,False,-2.6415825000000055,True,False
participant_5,Q7,Part 2,5122.916,5183.7515,60.83545,True,False,-19.12834125,True,False
participant_5,Q8,Part 2,5183.7515,5212.1123,28.36084,True,False,-13.506705624999995,True,False
participant_5,Q9,Part 1,5212.1123,5274.066,61.953613,True,False,14.444060250000014,True,False
participant_6,Q1,Part 2,5991.785,6046.6885,54.90332,True,False,-50.36237012500002,True,False
participant_6,Q10,Part 2,6492.529,6547.3486,54.819824,True,False,21.069945000000015,True,False
participant_6,Q11,Part 2,6547.3486,6578.201,30.85254,True,False,-40.907548000000006,True,False
participant_6,Q12,Part 2,6578.201,6650.5107,72.30957,True,False,-25.296664500000006,True,False
participant_6,Q13,Part 2,6650.5107,6736.405,85.89404,True,False,-59.49931249999999,True,False
participant_6,Q14,Part 1,6736.405,6756.0864,19.68164,True,False,-14.439941125,True,False
participant_6,Q15,Part 2,6756.0864,6843.3584,87.27197,True,False,-7.538453000000004,True,False
participant_6,Q2,Part 1,6046.6885,6138.8657,92.177246,True,False,-33.965227500000005,True,False
participant_6,Q3,Part 2,6138.8657,6196.8867,58.020996,True,False,-5.320869999999985,True,False
participant_6,Q4,Part 2,6197.155,6239.3687,42.213867,True,False,-13.903518624999997,True,False
participant_6,Q5,Part 2,6239.3687,6270.135,30.766113,True,False,-32.73797499999999,True,False
participant_6,Q6,Part 1,6270.135,6313.3594,43.22461,True,False,-16.519976249999978,True,False
participant_6,Q7,Part 1,6313.3594,6342.4033,29.043945,True,False,9.099364500000007,True,False
participant_6,Q8,Part 2,6342.4033,6427.467,85.06348,True,False,-13.506705624999995,True,False
participant_6,Q9,Part 1,6427.467,6492.529,65.06201,True,False,14.444060250000014,True,False
participant_7,Q1,Part 2,87.61711,137.15276,49.535645,True,False,-50.36237012500002,True,False
participant_7,Q10,Part 1,533.7818,577.71045,43.92865,True,False,-24.73032000000001,True,False
participant_7,Q11,Part 2,577.71045,630.2395,52.529053,True,False,-40.907548000000006,True,False
participant_7,Q12,Part 2,630.2395,700.09125,69.851746,True,False,-25.296664500000006,True,False
participant_7,Q13,Part 2,700.09125,784.2919,84.20062,True,False,-59.49931249999999,True,False
participant_7,Q14,Part 2,784.2919,826.11597,41.824097,True,False,-15.682907499999992,True,False
participant_7,Q15,Part 1,826.11597,869.44763,43.331665,True,False,-50.906250125,True,False
participant_7,Q2,Part 1,137.15276,177.04852,39.895767,True,False,-33.965227500000005,True,False
participant_7,Q3,Part 2,177.04852,219.8865,42.837982,True,False,-5.320869999999985,True,False
