participant_id,question_id,invalid_gaze_count,total_gaze_count,invalid_gaze_ratio
participant_10,Q10,261,8054,0.0324062577601192
participant_10,Q11,114,5579,0.020433769492740634
participant_10,Q12,85,6250,0.0136
participant_10,Q13,138,2579,0.053509112058937575
participant_10,Q14,197,4414,0.044630720434979614
participant_10,Q15,263,6058,0.043413667877187194
participant_10,Q2,0,3413,0.0
participant_10,Q3,621,19718,0.03149406633532813
participant_10,Q4,295,15019,0.0196417870697117
participant_10,Q5,80,3470,0.023054755043227664
participant_10,Q6,188,7359,0.025546949313765457
participant_10,Q7,372,12180,0.030541871921182268
participant_10,Q8,154,7798,0.019748653500897665
participant_10,Q9,131,4964,0.02639000805801773
participant_11,Q1,73,3759,0.01942005852620378
participant_11,Q10,149,3616,0.04120575221238938
participant_11,Q11,299,9566,0.03125653355634539
participant_11,Q12,1079,12364,0.08726949207376254
participant_11,Q13,339,6278,0.0539980885632367
participant_11,Q14,391,4056,0.09640039447731756
participant_11,Q15,801,11303,0.07086614173228346
participant_11,Q2,221,8621,0.02563507713722306
participant_11,Q3,217,3472,0.0625
participant_11,Q4,293,3889,0.07534070455129853
participant_11,Q5,158,3475,0.04546762589928058
participant_11,Q6,300,5963,0.05031024652020795
participant_11,Q7,317,5844,0.054243668720054754
participant_11,Q8,180,4417,0.04075164138555581
participant_11,Q9,342,5889,0.058074375955170655
participant_12,Q1,420,8682,0.04837595024187975
participant_12,Q10,152,2793,0.05442176870748299
participant_12,Q11,280,3667,0.0763566948459231
participant_12,Q12,209,3934,0.053126588713777324
participant_12,Q13,20,1454,0.013755158184319119
participant_12,Q14,866,10781,0.08032650032464521
participant_12,Q15,82,2685,0.030540037243947857
participant_12,Q2,95,3386,0.028056704075605433
participant_12,Q3,544,6243,0.08713759410539805
participant_12,Q4,748,6568,0.11388550548112059
participant_12,Q5,0,2541,0.0
participant_12,Q6,529,11771,0.0449409565882253
participant_12,Q7,0,1808,0.0
participant_12,Q8,384,10128,0.037914691943127965
participant_12,Q9,19,1870,0.010160427807486631
participant_13,Q1,693,18029,0.03843807199511898
participant_13,Q10,152,7594,0.020015801948907033
participant_13,Q11,667,12901,0.051701418494690336
participant_13,Q12,457,8956,0.051027244305493526
participant_13,Q13,1223,12290,0.09951179820992677
participant_13,Q14,986,8831,0.11165213452610123
participant_13,Q15,405,12155,0.03331962155491567
participant_13,Q2,561,13207,0.04247747406678277
participant_13,Q3,855,23400,0.03653846153846154
participant_13,Q4,810,6928,0.11691685912240185
participant_13,Q5,3267,15342,0.21294485725459522
participant_13,Q6,675,12660,0.0533175355450237
participant_13,Q7,2460,11257,0.21853069201385805
participant_13,Q8,850,12746,0.06668758826298446
participant_13,Q9,329,4740,0.06940928270042195
participant_14,Q1,0,3200,0.0
participant_14,Q10,18,7605,0.002366863905325444
participant_14,Q11,14,6820,0.0020527859237536657
participant_14,Q12,27,6252,0.004318618042226488
participant_14,Q13,31,4047,0.0076599950580677045
participant_14,Q14,152,10403,0.014611169854849563
participant_14,Q15,46,5152,0.008928571428571428
participant_14,Q2,15,6205,0.0024174053182917004
participant_14,Q3,39,4712,0.008276740237691002
participant_14,Q4,10,5586,0.0017901897601145722
participant_14,Q5,27,7270,0.0037138927097661624
participant_14,Q6,17,11257,0.0015101714488762548
participant_14,Q7,81,3511,0.02307035032754201
participant_14,Q8,27,12257,0.002202822876723505
participant_14,Q9,0,4761,0.0
participant_15,Q1,127,7295,0.01740918437285812
participant_15,Q10,376,8292,0.045344910757356485
participant_15,Q11,221,12008,0.01840439706862092
participant_15,Q12,234,3597,0.06505421184320268
participant_15,Q13,398,10089,0.03944890474774507
participant_15,Q14,235,3884,0.060504634397528324
participant_15,Q15,495,3646,0.13576522216127263
participant_15,Q2,140,4764,0.02938706968933669
participant_15,Q3,660,10983,0.060092870800327776
participant_15,Q4,413,8647,0.047762229675031805
participant_15,Q5,58,1808,0.032079646017699116
participant_15,Q6,367,7938,0.04623330813807004
participant_15,Q7,237,11228,0.021107944424652653
participant_15,Q8,439,10901,0.04027153472158518
participant_15,Q9,1107,12716,0.08705567788612771
participant_16,Q1,811,8585,0.09446709376820035
participant_16,Q10,1204,10577,0.11383189940436797
participant_16,Q11,996,7796,0.12775782452539763
participant_16,Q12,1318,10190,0.129342492639843
participant_16,Q13,1544,10353,0.14913551627547572
participant_16,Q14,678,5438,0.12467819051121735
participant_16,Q15,2362,11931,0.19797167043835387
participant_16,Q2,628,5897,0.10649482787858233
participant_16,Q3,1426,9129,0.15620549895936028
participant_16,Q4,1512,8631,0.17518248175182483
participant_16,Q5,887,7586,0.11692591616134985
participant_16,Q6,930,5500,0.1690909090909091
participant_16,Q7,1410,10388,0.13573353869849827
participant_16,Q8,1529,9211,0.16599717728802518
participant_16,Q9,674,5093,0.1323385038287846
participant_17,Q1,411,15280,0.026897905759162302
