participant_id,question_id,part,min,max,t_ij,valid_data
participant_7,Q8,Part 1,428.92422,461.5123,32.588074,True
participant_7,Q9,Part 2,461.5123,533.7818,72.2695,True
participant_8,Q1,Part 2,1355.7617,1394.0768,38.315063,True
participant_8,Q10,Part 2,1836.689,1888.0328,51.343872,True
participant_8,Q11,Part 2,1888.0328,1945.5725,57.539673,True
participant_8,Q12,Part 2,1945.5725,1999.9506,54.37805,True
participant_8,Q13,Part 2,1999.9506,2044.2875,44.336914,True
participant_8,Q14,Part 2,2044.2875,2120.8035,76.51599,True
participant_8,Q15,Part 1,2120.8035,2197.9695,77.166016,True
participant_8,Q2,Part 1,1394.0768,1463.4794,69.40259,True
participant_8,Q3,Part 1,1463.4794,1516.3167,52.83728,True
participant_8,Q4,Part 2,1516.3167,1574.8748,58.558105,True
participant_8,Q5,Part 2,1574.8748,1630.9266,56.05188,True
participant_8,Q6,Part 2,1637.9,1693.9325,56.03247,True
participant_8,Q7,Part 1,1693.9325,1736.2728,42.340332,True
participant_8,Q8,Part 1,1736.2728,1789.9341,53.661255,True
participant_8,Q9,Part 2,1789.9341,1836.689,46.754883,True
participant_9,Q1,Part 2,2820.0667,2883.3135,63.246826,True
participant_9,Q10,Part 1,3256.6575,3290.0686,33.411133,True
participant_9,Q11,Part 2,3290.7188,3304.363,13.644287,True
participant_9,Q12,Part 2,3304.363,3337.3867,33.02368,True
participant_9,Q13,Part 1,3337.3867,3420.0989,82.71216,True
participant_9,Q14,Part 2,3420.0989,3438.4192,18.320312,True
participant_9,Q15,Part 2,3438.4192,3469.2852,30.865967,True
participant_9,Q2,Part 2,2883.3135,2929.0974,45.783936,True
participant_9,Q3,Part 1,2929.0974,3002.3445,73.24707,True
participant_9,Q4,Part 2,3002.3445,3029.3994,27.054932,True
participant_9,Q5,Part 2,3029.3994,3059.8777,30.478271,True
participant_9,Q6,Part 1,3059.8777,3110.6582,50.780518,True
participant_9,Q7,Part 1,3110.6582,3129.8494,19.191162,True
participant_9,Q8,Part 2,3129.8494,3172.9495,43.100098,True
participant_9,Q9,Part 2,3172.9495,3256.6575,83.70801,True
participant_10,Q1,Part 1,62.72685,98.08165,35.3548,True
participant_10,Q10,Part 2,605.7742,660.25195,54.477783,True
participant_10,Q11,Part 1,660.25195,697.8443,37.592346,True
participant_10,Q12,Part 1,697.8443,740.2115,42.367188,True
participant_10,Q13,Part 2,740.2115,757.8551,17.643616,True
participant_10,Q14,Part 2,757.8551,787.68304,29.827942,True
participant_10,Q15,Part 1,787.68304,828.51624,40.83319,True
participant_10,Q2,Part 2,98.08165,121.35199,23.27034,True
participant_10,Q3,Part 2,121.35199,253.7862,132.4342,True
participant_10,Q4,Part 1,253.7862,355.2939,101.50772,True
participant_10,Q5,Part 2,355.2939,378.87225,23.578339,True
participant_10,Q6,Part 2,379.03314,437.36252,58.329376,True
participant_10,Q7,Part 2,437.36252,519.3448,81.98227,True
participant_10,Q8,Part 2,519.3448,572.12067,52.77588,True
participant_10,Q9,Part 2,572.12067,605.7742,33.653503,True
participant_11,Q1,Part 2,1191.8452,1217.8209,25.975708,True
participant_11,Q10,Part 1,1505.0221,1529.0168,23.994751,True
participant_11,Q11,Part 2,1529.0168,1593.7092,64.69238,True
participant_11,Q12,Part 2,1593.7092,1677.1716,83.4624,True
participant_11,Q13,Part 2,1677.1716,1719.4117,42.240112,True
participant_11,Q14,Part 1,1719.4117,1746.9287,27.516968,True
participant_11,Q15,Part 2,1746.9287,1823.2369,76.30823,True
participant_11,Q2,Part 2,1217.8209,1275.5282,57.707275,True
participant_11,Q3,Part 1,1275.5282,1299.3278,23.79956,True
participant_11,Q4,Part 2,1299.3278,1325.6254,26.297607,True
participant_11,Q5,Part 1,1325.6254,1348.9794,23.354004,True
participant_11,Q6,Part 2,1348.9794,1395.671,46.69165,True
participant_11,Q7,Part 2,1395.671,1435.3196,39.64856,True
participant_11,Q8,Part 2,1435.3196,1465.2072,29.887573,True
participant_11,Q9,Part 1,1465.2072,1505.0221,39.81494,True
