participant_id,question_id,part,min,max,t_ij,valid_data,censored,LB,is_valid_time,invalid_time,is_correct,label
participant_12,Q7,Part 1,317.23776,329.54449,12.306730000000016,True,False,9.099355000000855,True,False,1,NP
participant_12,Q8,Part 2,329.54449,397.84937,68.30488000000003,True,False,-13.50669250000017,True,False,1,NP
participant_12,Q9,Part 1,397.84937,410.51379,12.66441999999995,True,False,14.444062500000342,False,True,1,INVALID
participant_13,Q1,Part 2,74.35633,196.03941,121.68308,True,False,-50.36236749999948,True,False,1,NP
participant_13,Q10,Part 2,888.40833,939.47742,51.069090000000074,True,False,21.069950000000233,True,False,0,UP
participant_13,Q11,Part 1,939.47742,1026.25549,86.77806999999996,True,False,-23.071896249999938,True,False,1,NP
participant_13,Q12,Part 2,1026.25549,1086.72949,60.47399999999993,True,False,-25.296670000000063,True,False,0,UP
participant_13,Q13,Part 2,1086.72949,1169.48743,82.75793999999996,True,False,-59.499320000000125,True,False,0,UP
participant_13,Q14,Part 1,1169.48743,1229.23071,59.74328000000014,True,False,-14.439928750000348,True,False,1,NP
participant_13,Q15,Part 2,1229.29211,1310.8457,81.55358999999999,True,False,-7.538450000000111,True,False,0,UP
participant_13,Q2,Part 1,196.03941,285.17584,89.13642999999999,True,False,-33.965244999999996,True,False,1,NP
participant_13,Q3,Part 2,285.17584,442.34698,157.17113999999998,True,False,-5.320869999999928,True,False,0,UP
participant_13,Q4,Part 2,442.34698,489.23587,46.88889,True,False,-13.903517500000689,True,False,0,UP
participant_13,Q5,Part 2,489.23587,592.61316,103.37729000000002,True,False,-32.73799000000031,True,False,0,NA_no_correct
participant_13,Q6,Part 1,592.61316,694.66315,102.04998999999998,True,False,-16.519989999999503,True,False,0,UP
participant_13,Q7,Part 2,694.66315,770.44916,75.78601000000003,True,False,-19.128347499999308,True,False,1,NP
participant_13,Q8,Part 1,770.44916,856.23584,85.78668000000005,True,False,12.627906249999654,True,False,1,UP
participant_13,Q9,Part 2,856.23584,888.40833,32.172489999999925,True,False,-43.915629999999766,True,False,0,UP
participant_14,Q1,Part 1,3094.03613,3116.01318,21.977049999999963,True,False,-15.267338749999706,True,False,1,NP
participant_14,Q10,Part 1,3497.11328,3548.02124,50.90796,True,False,-24.730319999999836,True,False,1,NP
participant_14,Q11,Part 1,3548.02124,3594.21338,46.19214000000011,True,False,-23.071896249999938,True,False,1,NP
participant_14,Q12,Part 2,3594.21338,3636.29956,42.086179999999786,True,False,-25.296670000000063,True,False,0,UP
