participant_id,question_id,part,min,max,t_ij,valid_data,censored,LB,is_valid_time,invalid_time,is_correct,label,Answering_duration_s,Reading_duration_s,phase_onset_s,Choice_A,Choice_B,Choice_C,Choice_D,Other,Question,Submit,Timer
participant_1,Q1,Part 2,4703.14453,4878.33594,175.19141000000036,True,False,-50.36236749999948,True,False,0,UP,99.79345999999987,75.39795000000049,4778.81055,2.4604700000018056,2.9873099999995247,1.5126799999998184,0.23730000000068685,78.80320999999458,89.19044000000395,0.0,0.0
participant_1,Q10,Part 2,5390.91211,5475.94141,85.02930000000015,True,False,21.069950000000233,True,False,0,UP,21.88282000000072,63.14647999999943,5454.25293,4.968769999998585,7.860350000001745,3.9096800000006624,5.089839999997821,28.764650000001893,34.31784999999945,0.0,0.11815999999998894
participant_1,Q11,Part 2,5476.1167,5513.23877,37.12207000000035,True,False,-40.907541250000634,True,False,0,UP,19.10400000000027,18.01807000000008,5494.21533,0.0,0.4750899999999092,0.0,0.0,21.03077000000212,15.616209999998318,0.0,0.0
participant_1,Q12,Part 2,5513.23877,5597.67871,84.4399400000002,True,False,-25.296670000000063,True,False,0,UP,48.71045000000049,35.729489999999714,5549.70508,1.9164999999993597,1.1904200000008132,0.9418900000009671,0.6782199999979639,52.498579999996764,26.899390000004132,0.0,0.31494000000020606
participant_1,Q13,Part 1,5597.67871,5639.21631,41.53759999999966,True,False,-36.89351500000005,True,False,1,NP,39.15917999999965,2.3784200000000055,5600.48535,0.36085000000002765,1.0717800000011266,0.22069999999985157,0.280760000000555,31.37743999999566,8.226070000002437,0.0,0.0
participant_1,Q14,Part 1,5639.52393,5721.76758,82.24364999999943,True,False,-14.439928750000348,True,False,1,NP,75.79248000000007,6.451169999999365,5646.29639,0.7978499999999258,0.5258799999992334,1.4941500000013548,0.6162099999992279,25.549309999999423,53.05223999999998,0.0,0.2080100000002858
participant_1,Q15,Part 2,5721.76758,5766.6333,44.86572000000069,True,False,-7.538450000000111,True,False,1,NP,22.445800000000418,22.419920000000275,,1.3388500000010026,2.223149999999805,0.88379999999961,0.308100000000195,27.430199999999786,12.681620000000294,0.0,0.0
participant_1,Q2,Part 2,4878.33594,4927.74365,49.40771000000041,True,False,5.275629999999509,True,False,0,UP,19.700190000000475,29.70751999999993,4908.36621,0.42919999999958236,1.3217599999998129,0.591309999999794,0.20556000000033237,31.331059999998615,15.52882000000227,0.0,0.0
participant_1,Q3,Part 1,4927.74365,5001.74756,74.00390999999945,True,False,22.222594999999387,True,False,1,NP,14.73682000000008,59.26708999999937,4987.24561,5.916010000002643,1.4257800000004863,1.024409999999989,0.0,43.61624999999822,22.021459999998115,0.0,0.0
participant_1,Q4,Part 2,5001.74756,5033.80713,32.05957000000035,True,False,-13.903517500000689,True,False,1,NP,8.413580000000366,23.645989999999983,5025.74121,1.1122999999988679,0.0,2.2226500000006126,0.16307999999935419,18.71437000000151,9.847170000000006,0.0,0.0
participant_1,Q5,Part 1,5033.80713,5113.28955,79.48242000000027,True,False,-17.558350000001838,True,False,0,NA_no_correct,73.11328000000049,6.369139999999788,5040.45752,0.7382899999993242,1.2592599999998129,0.36815999999998894,0.8100700000004508,34.286630000000514,42.020010000000184,0.0,0.0
participant_1,Q6,Part 2,5113.28955,5204.88525,91.59569999999985,True,False,-2.641577499999663,True,False,0,UP,46.03319999999985,45.5625,,5.854489999999714,1.3066499999995358,1.4619299999994837,1.5048799999995026,40.972630000004756,39.96581999999671,0.0,0.5293000000001484
participant_1,Q7,Part 2,5204.88525,5266.57617,61.690920000000006,True,False,-19.128347499999308,True,False,0,UP,36.6538100000007,25.037109999999302,5230.2373,4.403340000000753,3.2241099999982907,1.4516600000006292,0.2963799999997718,47.71044999999776,4.604980000002797,0.0,0.0
participant_1,Q8,Part 2,5266.57617,5306.18408,39.60790999999972,True,False,-13.50669250000017,True,False,1,NP,19.84082000000035,19.76708999999937,,1.253419999999096,0.28272000000015396,0.2036099999995713,0.0,31.37156000000141,6.496599999999489,0.0,0.0
participant_1,Q9,Part 1,5306.18408,5390.91211,84.72803000000022,True,False,14.444062500000342,True,False,0,UP,27.690920000000006,57.03711000000021,5363.4082,1.6479399999989255,2.083980000000338,1.713380000000143,0.844239999999445,64.74270000000251,13.210439999998925,0.0,0.4853499999999258
participant_10,Q1,Part 1,62.72685,98.08165,35.3548,True,False,-15.267338749999706,True,False,1,NP,30.69301999999999,4.661780000000007,68.00576,2.1164600000000036,0.19374999999999432,2.5516199999999998,0.744489999999999,27.462599999999988,2.285880000000013,0.0,0.0
participant_10,Q10,Part 2,605.77417,660.25195,54.47777999999994,True,False,21.069950000000233,True,False,1,NP,27.449340000000007,27.028439999999932,,0.7789399999999205,2.304010000000062,0.16130999999995765,1.1247600000000375,16.8428100000001,33.26594999999986,0.0,0.0
participant_10,Q11,Part 1,660.25195,697.8443,37.59235000000001,True,False,-23.071896249999938,True,False,1,NP,18.930790000000002,18.66156000000001,,0.35602000000005773,0.0,0.8666999999999234,0.42205999999998767,21.260850000000232,14.578009999999836,0.0,0.10870999999997366
participant_10,Q12,Part 1,697.8443,740.21149,42.36719000000005,True,False,-33.935123749999576,True,False,0,UP,21.347960000000057,21.019229999999993,,3.115970000000061,2.349909999999909,0.535759999999982,0.7363200000000916,23.222399999999993,12.406830000000014,0.0,0.0
participant_10,Q13,Part 2,740.21149,757.8551,17.643609999999967,True,False,-59.499320000000125,True,False,1,NP,8.88214000000005,8.761469999999917,,0.2545199999999568,0.0,0.0,0.0,12.583480000000122,4.805609999999888,0.0,0.0
