BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV
0.00000,0,29,1,0.91665,0.09896,3,0.88385,0.87407,0.15430,15752,6650.51074,0,0.73282,0.02832,-0.08060,-0.07851,0.70209,0.20577,0.85699,14.34103,1,0.92823,0.03178,0.97104,0.00377,1,1,-0.02337,-0.08766,0.72146,0.42130,0.88653,14.11124,1,0.90508,0.16615,0.96181,0.00380,1,1
0.00000,0,29,1,0.91245,0.11210,0,0.88385,0.87407,0.15430,15752,6650.51074,0,0.82264,0.07021,-0.08244,-0.08105,0.72331,0.20687,0.85698,14.65296,1,0.92535,0.04156,0.96181,0.00391,1,1,-0.02243,-0.08649,0.71052,0.42162,0.88790,15.83049,1,0.89955,0.18264,0.94457,0.00410,1,1
0.00000,0,29,1,0.92029,0.11433,0,0.83385,0.86667,0.16748,15753,6650.69189,1,0.91779,0.09202,-0.07903,-0.07990,0.71502,0.21617,0.85627,14.21255,1,0.93149,0.05209,0.98661,0.00397,1,1,-0.02136,-0.09249,0.75566,0.43084,0.88949,14.06868,1,0.90909,0.17657,0.98661,0.00376,1,1
0.00000,0,29,1,0.90877,0.06952,0,0.83385,0.86667,0.17334,15753,6650.69189,1,0.91745,0.09119,-0.07903,-0.07990,0.71502,0.21612,0.85648,14.21723,1,0.91705,0.02326,0.98661,0.00382,1,1,-0.02136,-0.09249,0.75566,0.43097,0.88952,14.19628,1,0.90049,0.11579,0.99584,0.00381,1,1
0.00000,0,29,1,0.91417,0.07146,0,0.83385,0.86667,0.18018,15753,6650.69189,1,0.91734,0.09049,-0.07903,-0.07990,0.71502,0.21615,0.85661,14.38456,1,0.92045,0.02229,0.99584,0.00388,1,1,-0.02136,-0.09249,0.75566,0.43093,0.88956,14.10309,1,0.90789,0.12063,1.00508,0.00383,1,1
0.00000,0,29,1,0.91554,0.06665,0,0.83385,0.86667,0.18701,15753,6650.69189,1,0.91727,0.08966,-0.08050,-0.08150,0.72932,0.21613,0.85664,14.67304,1,0.92319,0.01266,1.00508,0.00392,1,1,-0.02009,-0.08729,0.71272,0.43116,0.88972,14.33150,1,0.90789,0.12063,1.00508,0.00374,1,1
0.00000,0,29,1,0.92932,0.07665,0,0.82344,0.86667,0.19385,15753,6650.69189,1,0.91768,0.08923,-0.08050,-0.08150,0.72932,0.21619,0.85667,14.70144,1,0.93590,0.01879,1.00508,0.00393,1,1,-0.02009,-0.08729,0.71272,0.43141,0.88987,14.21719,1,0.92274,0.13450,0.99584,0.00375,1,1
0.00000,0,29,1,0.93178,0.09031,0,0.82344,0.86667,0.20020,15753,6650.69189,1,0.91813,0.08926,-0.08050,-0.08150,0.72932,0.21660,0.85694,14.42249,1,0.94075,0.01939,0.99584,0.00387,1,1,-0.02009,-0.08729,0.71272,0.43139,0.88990,14.30366,1,0.92282,0.16122,0.98661,0.00376,1,1
0.00000,0,29,1,0.93033,0.09514,0,0.82344,0.86667,0.20703,15753,6650.69189,1,0.91851,0.08945,-0.08050,-0.08150,0.72932,0.21630,0.85681,14.30479,1,0.93783,0.02906,0.98661,0.00390,1,1,-0.02106,-0.09179,0.74902,0.43135,0.88992,14.22396,1,0.92282,0.16122,0.98661,0.00376,1,1
0.00000,0,29,1,0.92713,0.10657,0,0.82344,0.86667,0.21387,15753,6650.69189,1,0.91877,0.08997,-0.08050,-0.08150,0.72932,0.21639,0.85685,14.21289,1,0.93740,0.04294,0.98661,0.00391,1,1,-0.02106,-0.09179,0.74902,0.43142,0.89005,14.05453,1,0.91686,0.17020,0.99584,0.00372,1,1
0.00000,0,29,1,0.93531,0.10526,0,0.82344,0.86667,0.22021,15753,6650.69189,1,0.91926,0.09042,-0.08050,-0.08150,0.72932,0.21636,0.85678,14.05280,1,0.93282,0.02887,0.99584,0.00393,1,1,-0.02106,-0.09179,0.74902,0.43135,0.88998,14.14749,1,0.93781,0.18164,1.00508,0.00375,1,1
0.00000,0,29,1,0.93829,0.09636,0,0.81563,0.86667,0.22900,15753,6650.69189,1,0.91980,0.09059,-0.08050,-0.08150,0.72932,0.21630,0.85679,14.01303,1,0.93567,0.01930,1.00508,0.00394,1,1,-0.02103,-0.09172,0.74795,0.43129,0.89005,13.94551,1,0.94092,0.17343,1.01431,0.00373,1,1
0.00000,0,29,1,0.92758,0.07853,0,0.81563,0.86667,0.23389,15753,6650.69189,1,0.92002,0.09025,-0.08050,-0.08150,0.72932,0.21640,0.85679,14.26837,1,0.93793,-0.00109,1.01431,0.00386,1,1,-0.02103,-0.09172,0.74795,0.43120,0.89009,14.18929,1,0.91723,0.15816,1.01431,0.00375,1,1
0.00000,0,29,1,0.91244,0.09238,0,0.81563,0.86667,0.24072,15753,6650.69189,1,0.91981,0.09031,-0.08050,-0.08150,0.72932,0.21628,0.85730,14.47003,1,0.91910,0.02462,1.01431,0.00395,1,1,-0.02103,-0.09172,0.74795,0.43125,0.89005,13.95923,1,0.90578,0.16013,1.01431,0.00376,1,1
0.00000,0,29,1,0.91104,0.09658,0,0.81563,0.86667,0.24756,15753,6650.69189,1,0.91958,0.09047,-0.07904,-0.08008,0.71608,0.21624,0.85717,14.34073,1,0.91910,0.02462,1.01431,0.00386,1,1,-0.02009,-0.08740,0.71272,0.43117,0.89003,14.05752,1,0.90298,0.16855,1.00508,0.00375,1,1
0.00000,0,29,1,0.89349,0.13947,0,0.81563,0.86667,0.25391,15753,6650.69189,1,0.91891,0.09173,-0.07904,-0.08008,0.71608,0.21621,0.85696,14.18095,1,0.89176,0.10289,1.00508,0.00391,1,1,-0.02009,-0.08740,0.71272,0.43126,0.89012,14.10793,1,0.89523,0.17604,0.99584,0.00380,1,1
0.00000,0,29,1,0.90209,0.12093,0,0.81563,0.86667,0.26123,15753,6650.69189,1,0.91849,0.09246,-0.07904,-0.08008,0.71608,0.21601,0.85724,14.60549,1,0.90512,0.06205,0.99584,0.00398,1,1,-0.02009,-0.08740,0.71272,0.43121,0.89017,14.13099,1,0.89906,0.17982,0.98661,0.00381,1,1
0.00000,0,29,1,0.89937,0.12981,0,0.81510,0.86667,0.26758,15753,6650.69189,1,0.91803,0.09337,-0.07903,-0.08001,0.71502,0.21568,0.85685,14.40590,1,0.90251,0.07130,0.98661,0.00380,1,1,-0.02113,-0.09198,0.74959,0.43109,0.89018,14.32908,1,0.89623,0.18833,0.97738,0.00372,1,1
0.00000,0,29,1,0.92007,0.16005,0,0.81510,0.86667,0.27441,15753,6650.69189,1,0.91808,0.09496,-0.07903,-0.08001,0.71502,0.21579,0.85708,14.12378,1,0.94981,0.10613,0.97738,0.00383,1,1,-0.02113,-0.09198,0.74959,0.43113,0.89013,14.08735,1,0.89034,0.21397,0.97738,0.00374,1,1
0.00000,0,29,1,0.94067,0.16055,0,0.81510,0.86667,0.28125,15753,6650.69189,1,0.91860,0.09648,-0.07903,-0.08001,0.71502,0.21579,0.85717,14.10283,1,0.96873,0.10352,0.97738,0.00381,1,1,-0.02113,-0.09198,0.74959,0.43096,0.89030,13.93756,1,0.91261,0.21758,0.97738,0.00369,1,1
0.00000,0,29,1,0.93788,0.16829,0,0.81510,0.86667,0.28809,15753,6650.69189,1,0.91904,0.09812,-0.07826,-0.07928,0.70755,0.21599,0.85688,14.13729,1,0.96583,0.11162,0.96911,0.00409,1,1,-0.02050,-0.08875,0.72332,0.43076,0.89025,14.03853,1,0.90993,0.22496,0.96911,0.00383,1,1
0.00000,0,29,1,0.89515,0.12877,0,0.81510,0.86667,0.29492,15753,6650.69189,1,0.91851,0.09880,-0.07826,-0.07928,0.70755,0.21586,0.85689,13.98598,1,0.92225,0.08060,0.96084,0.00411,1,1,-0.02050,-0.08875,0.72332,0.43079,0.89023,13.84316,1,0.86804,0.17694,0.96084,0.00384,1,1
0.00000,0,29,1,0.90197,0.12276,0,0.81510,0.86667,0.29492,15753,6650.69189,0,0.91500,0.12454,-0.07826,-0.07928,0.70755,0.21592,0.85698,14.36130,1,0.91364,0.03644,0.95257,0.00424,1,1,-0.02050,-0.08875,0.72332,0.43084,0.89038,13.75094,1,0.89030,0.20907,0.95257,0.00381,1,1
0.00000,0,29,1,0.90197,0.12276,0,0.81510,0.86667,0.29492,15753,6650.69189,0,0.90849,0.12365,-0.08050,-0.08150,0.72734,0.21537,0.85754,14.44164,1,0.91364,0.03644,0.95257,0.00398,1,1,-0.02050,-0.08875,0.72332,0.43072,0.89040,13.94272,1,0.89030,0.20907,0.95257,0.00370,1,1
0.00000,0,29,1,0.89956,0.09658,0,0.81510,0.86667,0.29492,15753,6650.69189,0,0.90551,0.11462,-0.08050,-0.08150,0.72734,0.21531,0.85770,14.40229,1,0.91284,0.05252,0.96084,0.00386,1,1,-0.02050,-0.08875,0.72332,0.43075,0.89047,14.12265,1,0.88627,0.14063,0.96084,0.00373,1,1
0.00000,0,29,1,0.89761,0.10352,0,0.81510,0.86667,0.02002,15754,6650.99316,1,0.90353,0.11185,-0.08050,-0.08150,0.72734,0.21545,0.85765,14.33234,1,0.90912,0.06885,0.96911,0.00379,1,1,-0.02050,-0.08875,0.72332,0.43066,0.89049,13.75475,1,0.88609,0.13820,0.96911,0.00370,1,1
0.00000,0,29,1,0.90143,0.09075,0,0.81510,0.86667,0.02686,15754,6650.99316,1,0.90311,0.10763,-0.08050,-0.08161,0.72734,0.21527,0.85801,14.40567,1,0.91156,0.06040,0.97738,0.00393,1,1,-0.02147,-0.09269,0.75546,0.43063,0.89054,13.89671,1,0.89130,0.12110,0.98661,0.00371,1,1
0.00000,0,29,1,0.91904,0.10938,0,0.81510,0.86667,0.03369,15754,6650.99316,1,0.90577,0.10792,-0.08050,-0.08161,0.72734,0.21518,0.85844,14.00643,1,0.92021,0.09602,0.98661,0.00402,1,1,-0.02147,-0.09269,0.75546,0.43046,0.89058,13.92186,1,0.91788,0.12273,0.99584,0.00369,1,1
0.00000,0,29,1,0.90857,0.06365,0,0.81510,0.86667,0.04053,15754,6650.99316,1,0.90617,0.10160,-0.08050,-0.08161,0.72734,0.21517,0.85847,14.21336,1,0.90906,-0.00258,0.99584,0.00399,1,1,-0.02147,-0.09269,0.75546,0.43047,0.89060,13.93331,1,0.90808,0.12988,1.00508,0.00366,1,1
0.00000,0,29,1,0.90988,0.05872,0,0.81510,0.86667,0.04688,15754,6650.99316,1,0.90663,0.09624,-0.08008,-0.08107,0.72253,0.21500,0.85816,14.03633,1,0.91169,-0.01244,1.00508,0.00385,1,1,-0.02039,-0.08788,0.71575,0.43039,0.89078,14.17590,1,0.90808,0.12988,1.00508,0.00365,1,1
0.00000,0,29,1,0.92222,0.06461,0,0.81510,0.86667,0.05371,15754,6650.99316,1,0.90837,0.09272,-0.08008,-0.08107,0.72253,0.21516,0.85822,13.44110,1,0.93715,-0.00303,1.00508,0.00384,1,1,-0.02039,-0.08788,0.71575,0.43032,0.89084,14.03892,1,0.90730,0.13226,0.99584,0.00381,1,1
0.00000,0,29,1,0.92579,0.11003,0,0.81510,0.86667,0.06055,15754,6650.99316,1,0.91011,0.09445,-0.08008,-0.08107,0.72253,0.21498,0.85826,14.09796,1,0.95687,0.07983,0.99584,0.00386,1,1,-0.02039,-0.08788,0.71575,0.43028,0.89082,13.81614,1,0.89472,0.14022,0.98661,0.00381,1,1
0.00000,0,29,1,0.92024,0.12704,0,0.81510,0.86667,0.06689,15754,6650.99316,1,0.91103,0.09742,-0.07738,-0.07839,0.69777,0.21507,0.85816,13.89748,1,0.95105,0.09708,0.97834,0.00390,1,1,-0.02039,-0.08788,0.71575,0.43029,0.89083,13.83295,1,0.88944,0.15700,0.96911,0.00379,1,1
0.00000,0,29,1,0.92018,0.11829,0,0.81510,0.86667,0.07373,15754,6650.99316,1,0.91179,0.09916,-0.07738,-0.07839,0.69777,0.21495,0.85799,14.06376,1,0.93216,0.06023,0.96084,0.00415,1,1,-0.02039,-0.08788,0.71575,0.43027,0.89077,13.73325,1,0.90819,0.17635,0.96084,0.00378,1,1
