BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV
0.00000,0,25,1,0.41462,-0.14671,0,0.88333,0.86481,0.22778,5580,1746.92871,1,0.41496,-0.13846,-0.08435,-0.00067,0.68258,0.17867,0.49363,19.66423,1,0.45602,-0.13340,1.12664,0.00361,1,1,-0.01259,0.00399,0.68232,0.45259,0.47080,17.93824,1,0.37322,-0.16002,1.14265,0.00364,1,1
0.00000,0,25,1,0.43011,-0.19168,0,0.88385,0.86481,0.02686,5581,1747.21619,1,0.42757,-0.18874,-0.08397,-0.00071,0.67953,0.17869,0.49380,19.72795,1,0.46026,-0.18657,1.16808,0.00371,1,1,-0.01270,0.00398,0.68850,0.45262,0.47131,17.93810,1,0.39996,-0.19678,1.16808,0.00374,1,1
0.00000,0,25,1,0.42869,-0.19882,0,0.88385,0.86481,0.03320,5581,1747.21619,1,0.42776,-0.19042,-0.08397,-0.00071,0.67953,0.17869,0.49384,19.66889,1,0.45821,-0.19612,1.16808,0.00369,1,1,-0.01270,0.00398,0.68850,0.45261,0.47153,18.11194,1,0.39918,-0.20152,1.16808,0.00363,1,1
0.00000,0,25,1,0.42869,-0.19882,0,0.88385,0.86481,0.03992,5581,1747.21619,1,0.42789,-0.19162,-0.08397,-0.00071,0.67953,0.17865,0.49397,19.58681,1,0.45821,-0.19612,1.16808,0.00376,1,1,-0.01259,0.00399,0.68232,0.45261,0.47153,18.05306,1,0.39918,-0.20152,1.16808,0.00363,1,1
0.00000,0,25,1,0.41785,-0.21160,0,0.88385,0.86481,0.04663,5581,1747.21619,1,0.42664,-0.19412,-0.08397,-0.00071,0.67953,0.17857,0.49383,19.40414,1,0.44562,-0.19202,1.16808,0.00376,1,1,-0.01259,0.00399,0.68232,0.45257,0.47159,18.04317,1,0.39008,-0.23117,1.16808,0.00369,1,1
0.00000,0,25,1,0.41534,-0.21192,0,0.83021,0.82778,0.05371,5581,1747.21619,1,0.42538,-0.19610,-0.08397,-0.00071,0.67953,0.17864,0.49401,19.66898,1,0.44301,-0.19030,1.16808,0.00377,1,1,-0.01259,0.00399,0.68232,0.45256,0.47172,18.06310,1,0.38766,-0.23354,1.16808,0.00373,1,1
0.00000,0,25,1,0.41534,-0.21192,0,0.83021,0.82778,0.06042,5581,1747.21619,1,0.42438,-0.19768,-0.08397,-0.00071,0.67953,0.17858,0.49397,19.25272,1,0.44301,-0.19030,1.16808,0.00378,1,1,-0.01248,0.00391,0.67686,0.45256,0.47142,17.94165,1,0.38766,-0.23354,1.16808,0.00387,1,1
0.00000,0,25,1,0.41058,-0.20554,0,0.83021,0.82778,0.06738,5581,1747.21619,1,0.42312,-0.19839,-0.08397,-0.00071,0.67953,0.17841,0.49398,19.52099,1,0.43832,-0.17963,1.16808,0.00380,1,1,-0.01248,0.00391,0.67686,0.45258,0.47147,18.08109,1,0.38284,-0.23146,1.16808,0.00382,1,1
0.00000,0,25,1,0.40455,-0.18169,0,0.83021,0.82778,0.07471,5581,1747.21619,1,0.42157,-0.19700,-0.08397,-0.00071,0.67953,0.17842,0.49410,19.88572,1,0.42594,-0.17541,1.16808,0.00373,1,1,-0.01248,0.00391,0.67686,0.45220,0.47182,17.99258,1,0.38317,-0.18796,1.16808,0.00381,1,1
0.00000,0,25,1,0.40564,-0.16066,0,0.83021,0.82778,0.08069,5581,1747.21619,1,0.42035,-0.19421,-0.09206,-0.00078,0.74402,0.17827,0.49405,19.42146,1,0.42681,-0.15926,1.15168,0.00376,1,1,-0.01218,0.00375,0.65765,0.45176,0.47204,18.44436,1,0.38446,-0.16207,1.14321,0.00377,1,1
0.00000,0,25,1,0.41158,-0.13721,0,0.73854,0.76944,0.08752,5581,1747.21619,1,0.41972,-0.19013,-0.09206,-0.00078,0.74402,0.17829,0.49405,19.68178,1,0.41941,-0.10932,1.12681,0.00368,1,1,-0.01218,0.00375,0.65765,0.45224,0.47174,17.68185,1,0.40375,-0.16510,1.11833,0.00375,1,1
0.00000,0,25,1,0.43292,-0.12037,0,0.73854,0.76944,0.09424,5581,1747.21619,1,0.42060,-0.18548,-0.09206,-0.00078,0.74402,0.17817,0.49427,19.71039,1,0.47900,-0.09557,1.10194,0.00375,1,1,-0.01218,0.00375,0.65765,0.45205,0.47150,17.91150,1,0.38684,-0.14518,1.09346,0.00382,1,1
0.00000,0,25,1,0.43318,-0.10729,0,0.73854,0.76944,0.10107,5581,1747.21619,1,0.42139,-0.18060,-0.08286,-0.00080,0.66934,0.17807,0.49431,19.74652,1,0.47907,-0.07873,1.08478,0.00373,1,1,-0.01274,0.00396,0.68515,0.45199,0.47167,18.34738,1,0.38729,-0.13586,1.08478,0.00367,1,1
0.00000,0,25,1,0.41452,-0.12898,0,0.73854,0.76944,0.10779,5581,1747.21619,1,0.42098,-0.17756,-0.08286,-0.00080,0.66934,0.17804,0.49416,19.86722,1,0.46128,-0.08766,1.09250,0.00373,1,1,-0.01274,0.00396,0.68515,0.45193,0.47176,18.29368,1,0.36775,-0.17030,1.10097,0.00371,1,1
0.00000,0,25,1,0.42841,-0.14504,0,0.73854,0.76944,0.11438,5581,1747.21619,1,0.42140,-0.17575,-0.08286,-0.00080,0.66934,0.17794,0.49423,20.09910,1,0.45756,-0.10625,1.10869,0.00373,1,1,-0.01274,0.00396,0.68515,0.45180,0.47180,18.27193,1,0.39926,-0.18383,1.11716,0.00375,1,1
0.00000,0,25,1,0.42781,-0.16608,0,0.64062,0.71204,0.12280,5581,1747.21619,1,0.42173,-0.17524,-0.08410,-0.00076,0.67895,0.17786,0.49427,20.10727,1,0.45694,-0.13066,1.13356,0.00369,1,1,-0.01239,0.00375,0.65846,0.45167,0.47174,18.45881,1,0.39867,-0.20150,1.13356,0.00385,1,1
0.00000,0,25,1,0.40240,-0.14876,0,0.64062,0.71204,0.12793,5581,1747.21619,1,0.42077,-0.17392,-0.08410,-0.00076,0.67895,0.17765,0.49414,19.88698,1,0.42952,-0.13540,1.14224,0.00370,1,1,-0.01239,0.00375,0.65846,0.45171,0.47164,18.40415,1,0.37528,-0.16212,1.13377,0.00367,1,1
0.00000,0,25,1,0.40763,-0.14986,0,0.64062,0.71204,0.13428,5581,1747.21619,1,0.42014,-0.17277,-0.08410,-0.00076,0.67895,0.17754,0.49416,19.66345,1,0.41937,-0.12708,1.14245,0.00375,1,1,-0.01239,0.00375,0.65846,0.45157,0.47137,18.27271,1,0.39588,-0.17265,1.13397,0.00357,1,1
0.00000,0,25,1,0.40845,-0.13353,0,0.64062,0.71204,0.14111,5581,1747.21619,1,0.41961,-0.17099,-0.08081,-0.00073,0.65162,0.17758,0.49415,19.78949,1,0.42036,-0.11148,1.12625,0.00370,1,1,-0.01239,0.00385,0.65846,0.45150,0.47119,18.27244,1,0.39653,-0.15557,1.11778,0.00361,1,1
0.00000,0,25,1,0.41767,-0.10796,0,0.60104,0.67593,0.14111,5581,1747.21619,0,0.41623,-0.14062,-0.08081,-0.00073,0.65162,0.17737,0.49421,20.20050,1,0.44344,-0.07485,1.10138,0.00373,1,1,-0.01239,0.00385,0.65846,0.45127,0.47124,18.28842,1,0.39190,-0.14107,1.10138,0.00361,1,1
0.00000,0,25,1,0.42801,-0.10915,0,0.60104,0.67593,0.14111,5581,1747.21619,0,0.42212,-0.12489,-0.08081,-0.00073,0.65162,0.17736,0.49430,19.96710,1,0.46819,-0.07773,1.08498,0.00376,1,1,-0.01239,0.00385,0.65846,0.45124,0.47104,18.41404,1,0.38783,-0.14058,1.08498,0.00357,1,1
0.00000,0,25,1,0.42850,-0.09617,0,0.60104,0.67593,0.14111,5581,1747.21619,0,0.42425,-0.11532,-0.08223,-0.00075,0.66268,0.17730,0.49426,19.66904,1,0.46832,-0.06924,1.07630,0.00377,1,1,-0.01218,0.00377,0.64440,0.45115,0.47110,18.54374,1,0.38867,-0.12310,1.06877,0.00356,1,1
0.00000,0,25,1,0.41770,-0.09539,0,0.60104,0.67593,0.02014,5582,1747.36438,1,0.42261,-0.11033,-0.08223,-0.00075,0.66268,0.17719,0.49425,19.94145,1,0.46257,-0.07606,1.07649,0.00377,1,1,-0.01218,0.00377,0.64440,0.45104,0.47108,18.40141,1,0.37283,-0.11472,1.06895,0.00363,1,1
