BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV
0.00000,0,41,1,0.86413,0.23433,3,0.85312,0.81389,0.84277,10515,3009.43628,1,0.87041,0.22410,-0.00335,-0.01270,0.67745,0.49177,0.55773,20.27719,1,0.83635,0.69434,1.10928,0.00401,1,1,0.05703,-0.01468,0.63126,0.74062,0.57305,19.99693,1,0.89191,-0.22568,1.09448,0.00409,1,1
0.00000,0,41,1,0.86213,0.23559,0,0.85312,0.81389,0.84937,10515,3009.43628,1,0.87051,0.22424,-0.00335,-0.01270,0.67745,0.49179,0.55774,20.19092,1,0.83463,0.69547,1.10306,0.00402,1,1,0.05703,-0.01468,0.63126,0.74058,0.57310,20.04241,1,0.88963,-0.22428,1.08827,0.00406,1,1
0.00000,0,40,1,0.56993,0.52466,0,0.81823,0.79630,0.04028,10516,3010.41968,1,0.58082,0.50842,-0.00423,-0.01146,0.66409,0.48484,0.55041,19.55728,1,0.56990,0.65928,1.09048,0.00421,1,1,0.05733,-0.01383,0.64467,0.73338,0.56447,19.24143,1,0.56995,0.39004,1.09048,0.00446,1,1
0.00000,0,40,1,0.57004,0.52681,0,0.81823,0.79630,0.04688,10516,3010.41968,1,0.57947,0.51072,-0.00431,-0.01141,0.66136,0.48467,0.55007,19.68635,1,0.56943,0.66145,1.08190,0.00413,1,1,0.06066,-0.01461,0.68329,0.73339,0.56422,19.45873,1,0.57065,0.39217,1.09849,0.00431,1,1
0.00000,0,40,1,0.56255,0.52867,0,0.81823,0.79630,0.05371,10516,3010.41968,1,0.57759,0.51272,-0.00431,-0.01141,0.66136,0.48448,0.55018,20.12024,1,0.56181,0.65514,1.09849,0.00417,1,1,0.06066,-0.01461,0.68329,0.73326,0.56421,19.56327,1,0.56329,0.40220,1.11508,0.00431,1,1
0.00000,0,40,1,0.56270,0.52356,0,0.81823,0.79630,0.05981,10516,3010.41968,1,0.57610,0.51380,-0.00431,-0.01141,0.66136,0.48447,0.55020,20.19441,1,0.55713,0.65990,1.11508,0.00415,1,1,0.06066,-0.01461,0.68329,0.73326,0.56450,19.34084,1,0.56827,0.38722,1.13167,0.00425,1,1
0.00000,0,40,1,0.56429,0.52356,0,0.81823,0.79630,0.06689,10516,3010.41968,1,0.57503,0.51469,-0.00446,-0.01167,0.67624,0.48434,0.55030,19.85521,1,0.55822,0.65359,1.14024,0.00413,1,1,0.06037,-0.01459,0.67998,0.73322,0.56457,19.53157,1,0.57036,0.39353,1.15683,0.00424,1,1
0.00000,0,40,1,0.58017,0.51776,0,0.79531,0.77963,0.07300,10516,3010.41968,1,0.57546,0.51494,-0.00446,-0.01167,0.67624,0.48423,0.55027,19.67762,1,0.60006,0.64601,1.16541,0.00417,1,1,0.06037,-0.01459,0.67998,0.73313,0.56474,19.54218,1,0.56028,0.38951,1.16541,0.00427,1,1
0.00000,0,40,1,0.57163,0.52268,0,0.79531,0.77963,0.07983,10516,3010.41968,1,0.57516,0.51554,-0.00446,-0.01167,0.67624,0.48422,0.55025,19.51813,1,0.59211,0.64029,1.17399,0.00414,1,1,0.06037,-0.01459,0.67998,0.73298,0.56474,19.36484,1,0.55115,0.40507,1.17399,0.00424,1,1
0.00000,0,40,1,0.57131,0.52168,0,0.79531,0.77963,0.08618,10516,3010.41968,1,0.57489,0.51598,-0.00435,-0.01099,0.63697,0.48396,0.55047,19.94587,1,0.59211,0.64029,1.17399,0.00410,1,1,0.05807,-0.01407,0.65576,0.73285,0.56470,19.42690,1,0.55052,0.40307,1.16521,0.00430,1,1
