BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV,participant_id,question_id,part,is_valid,AOI,randomness_label,randomness_label_num
0.0,0,24,1,0.55948,0.84025,0,0.8526,0.89907,0.26758,15907,4800.25537,1,0.56885,0.85272,-0.02936,-0.00163,0.60428,0.37284,0.50587,29.5039,1,0.571,0.81473,0.96605,0.00565,1,1,0.0313,-0.00292,0.59991,0.63727,0.5127,28.55322,1,0.54796,0.86578,0.96605,0.00538,1,1,participant_26,question_14,Timer-Correct,True,Answer_Area,RANDOM,1
0.0,0,24,0,0.47209,0.97408,0,0.8526,0.89907,0.38135,15907,4800.25537,0,0.5039,1.12441,-0.02962,-0.0009,0.60045,0.37231,0.50674,18.64984,0,0.68472,1.2392,0.9912,0.00542,1,0,0.03163,-0.00188,0.62504,0.63087,0.50802,19.04844,0,0.47209,0.97408,0.9912,0.00556,1,0,participant_26,question_14,Timer-Correct,False,Other,RANDOM,1
0.0,0,24,0,0.47209,0.97408,0,0.8526,0.89907,0.38135,15907,4800.25537,0,0.0,0.0,-0.02962,-0.0009,0.60045,0.37231,0.50674,18.64984,0,0.68472,1.2392,0.9912,0.00542,1,0,0.03163,-0.00188,0.62504,0.63087,0.50802,19.04844,0,0.47209,0.97408,0.9912,0.00556,1,0,participant_26,question_14,Timer-Correct,False,Other,RANDOM,1
0.0,0,24,0,0.47209,0.97408,0,0.8526,0.89907,0.38135,15907,4800.25537,0,0.0,0.0,-0.02962,-0.0009,0.60045,0.37231,0.50674,18.64984,0,0.68472,1.2392,0.9912,0.00542,1,0,0.03163,-0.00188,0.62504,0.63087,0.50802,19.04844,0,0.47209,0.97408,0.9912,0.00556,1,0,participant_26,question_14,Timer-Correct,False,Other,RANDOM,1
0.0,-11,24,0,0.47209,0.97408,0,0.8526,0.89907,0.38135,15907,4800.25537,0,0.0,0.0,-0.02962,-0.0009,0.60045,0.37231,0.50674,18.64984,0,0.68472,1.2392,0.9912,0.00542,1,0,0.03163,-0.00188,0.62504,0.63087,0.50802,19.04844,0,0.47209,0.97408,0.9912,0.00556,1,0,participant_26,question_14,Timer-Correct,True,Other,RANDOM,1
0.0,-11,24,0,0.47209,0.97408,0,0.85156,0.8963,0.38135,15907,4800.25537,0,0.0,0.0,-0.02962,-0.0009,0.60045,0.37231,0.50674,18.64984,0,0.68472,1.2392,0.9912,0.00542,1,0,0.03163,-0.00188,0.62504,0.63087,0.50802,19.04844,0,0.47209,0.97408,0.9912,0.00556,1,0,participant_26,question_14,Timer-Correct,True,Other,RANDOM,1
0.0,-11,24,0,0.47209,0.97408,0,0.85156,0.8963,0.38135,15907,4800.25537,0,0.0,0.0,-0.02962,-0.0009,0.60045,0.37231,0.50674,18.64984,0,0.68472,1.2392,0.9912,0.00542,1,0,0.03163,-0.00188,0.62504,0.63087,0.50802,19.04844,0,0.47209,0.97408,0.9912,0.00556,1,0,participant_26,question_14,Timer-Correct,True,Other,RANDOM,1
0.0,-11,24,0,0.47209,0.97408,0,0.85156,0.8963,0.38135,15907,4800.25537,0,0.0,0.0,-0.02962,-0.0009,0.60045,0.37231,0.50674,18.64984,0,0.68472,1.2392,0.9912,0.00542,1,0,0.03163,-0.00188,0.62504,0.63087,0.50802,19.04844,0,0.47209,0.97408,0.9912,0.00556,1,0,participant_26,question_14,Timer-Correct,True,Other,RANDOM,1
0.0,-11,24,0,0.47209,0.97408,0,0.85156,0.8963,0.38135,15907,4800.25537,0,0.0,0.0,-0.02962,-0.0009,0.60045,0.37231,0.50674,18.64984,0,0.68472,1.2392,0.9912,0.00542,1,0,0.03163,-0.00188,0.62504,0.63087,0.50802,19.04844,0,0.47209,0.97408,0.9912,0.00556,1,0,participant_26,question_14,Timer-Correct,True,Other,RANDOM,1
0.03206,0,25,1,0.57826,1.10564,0,0.85156,0.8963,0.38135,15907,4800.25537,0,0.28913,0.55282,-0.03197,-0.00084,0.6243,0.36421,0.49969,29.54052,1,0.68484,1.2396,0.9976,0.00559,1,1,0.03073,-0.00204,0.61821,0.62923,0.50509,29.14664,1,0.47169,0.97167,0.9976,0.00544,1,1,participant_26,question_14,Timer-Correct,True,Other,RANDOM,1
