BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV,participant_id,question_id,part,is_valid,AOI,randomness_label,randomness_label_num
0.0,0,44,1,0.40016,0.37955,0,0.87187,0.86667,1.04492,10879,4868.96533,0,0.42646,0.39446,-0.05108,-0.01577,0.6332,0.28781,0.57307,16.23415,1,0.39317,0.39066,0.9319,0.00326,1,1,0.0148,-0.02143,0.6407,0.55751,0.60124,15.41288,1,0.40715,0.36845,0.9319,0.00309,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.39935,0.39771,0,0.87187,0.86667,1.04492,10879,4868.96533,0,0.41742,0.39555,-0.05108,-0.01577,0.6332,0.28738,0.57326,16.78276,1,0.40019,0.41714,0.92505,0.00326,1,1,0.0148,-0.02143,0.6407,0.55724,0.60104,15.26169,1,0.39851,0.37828,0.92505,0.00305,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.39995,0.3992,0,0.87187,0.86667,0.02002,10880,4870.05713,1,0.41305,0.39646,-0.05199,-0.01577,0.63729,0.28644,0.573,16.80545,1,0.40139,0.42004,0.91821,0.00326,1,1,0.01463,-0.02158,0.65251,0.55668,0.60051,15.73359,1,0.39851,0.37837,0.92485,0.0031,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.41233,0.38657,0,0.87187,0.86667,0.02783,10880,4870.05713,1,0.41291,0.39448,-0.05199,-0.01577,0.63729,0.28573,0.57307,16.58978,1,0.41263,0.40647,0.92485,0.00334,1,1,0.01463,-0.02158,0.65251,0.55599,0.60013,15.73463,1,0.41203,0.36667,0.93149,0.00309,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.4055,0.38378,0,0.87187,0.86667,0.0332,10880,4870.05713,1,0.41167,0.3927,-0.05199,-0.01577,0.63729,0.28529,0.57305,16.55301,1,0.42359,0.39262,0.93149,0.00327,1,1,0.01463,-0.02158,0.65251,0.55564,0.59985,15.74907,1,0.38742,0.37494,0.93813,0.00305,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.40498,0.38082,0,0.87187,0.86667,0.04053,10880,4870.05713,1,0.41072,0.391,-0.05258,-0.01584,0.63986,0.28455,0.573,16.86722,1,0.4226,0.38961,0.93813,0.00326,1,1,0.01402,-0.02106,0.64264,0.55512,0.5995,15.87182,1,0.38735,0.37203,0.94476,0.00306,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.4219,0.36021,0,0.87187,0.86667,0.04688,10880,4870.05713,1,0.41212,0.38715,-0.05258,-0.01584,0.63986,0.28376,0.57284,16.70646,1,0.43541,0.38424,0.94476,0.00329,1,1,0.01402,-0.02106,0.64264,0.55439,0.59879,15.87066,1,0.40838,0.33618,0.94476,0.00308,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.4112,0.37618,0,0.87187,0.86667,0.05371,10880,4870.05713,1,0.41201,0.38593,-0.05258,-0.01584,0.63986,0.28319,0.57277,16.60265,1,0.43977,0.3762,0.94476,0.00325,1,1,0.01402,-0.02106,0.64264,0.5542,0.59891,15.7878,1,0.38264,0.37616,0.94476,0.00311,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.41115,0.37456,0,0.87187,0.86667,0.06055,10880,4870.05713,1,0.41193,0.3848,-0.0535,-0.01594,0.64394,0.28234,0.57274,16.84506,1,0.43977,0.3762,0.94476,0.00329,1,1,0.01429,-0.02179,0.67571,0.55355,0.59847,15.9413,1,0.38252,0.37292,0.95223,0.00307,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.38662,0.40174,0,0.87187,0.86667,0.06738,10880,4870.05713,1,0.40963,0.38634,-0.0535,-0.01594,0.64394,0.28172,0.57275,16.57975,1,0.39885,0.39306,0.95223,0.00343,1,1,0.01429,-0.02179,0.67571,0.55283,0.59768,15.58847,1,0.37438,0.41041,0.9597,0.00301,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
