trial_file,fixation_count,mean_fixation_duration,fixation_dispersion,saccade_count,mean_saccade_velocity,mean_saccade_amplitude,aoi_switch_count,aoi_unique_visited,aoi_revisit_rate,aoi_entropy,pupil_mean,pupil_std,pupil_change_rate,pupil_peak_to_peak,scan_path_length,scan_path_straightness,spatial_spread,trial_duration,sampling_count
participant_5_question_14.csv,30,0.176236,0.0515378318928114,96,,0.0399811014406926,40,2,0.9995150339476236,0.2082526610034156,0.0034031332907144,0.0002882215661985,0.0104251974544501,0.002405,81.0269436878225,0.0081902982003099,0.2639162243056076,-0.3754899999999999,6257
participant_5_question_15.csv,17,0.1886764705882352,0.0474033658215271,63,,0.0291926478564065,34,3,0.9989521480964024,0.324238342304704,0.0034675423968343,0.0001870469889395,0.01208459321596,0.00125,48.91676431364657,0.0070750657634149,0.2850577927814879,-0.1001,3538
participant_5_question_2.csv,46,0.391219347826087,0.0510098319617524,130,,0.0210231980523022,5,2,0.9998063516653756,0.0762893285528783,0.0036753394907638,0.0002717495559788,0.0110011952286211,0.00499,107.63451362552968,0.0048582049950524,0.1927019045248316,0.71631,12018
participant_5_question_3.csv,88,0.3341117045454545,0.0502673232001531,301,,0.0199877405319298,92,4,0.9997615783513144,0.2393089911141827,0.0034929416410904,0.0002827321179348,0.0101898229977611,0.00259,252.2005758557788,0.002656636675426,0.2835816320201691,-0.65039,22156
participant_5_question_4.csv,28,0.2229521428571429,0.0408803427246762,96,,0.0196245318549024,24,2,0.999650471862985,0.1906704927614372,0.0034282713837886,0.000233972547751,0.0109039093564938,0.0021049999999999,81.74097074199219,0.007682168912838,0.2540368265589751,0.20508,6699
participant_5_question_5.csv,7,0.2287942857142857,0.0568874982838793,22,,0.0184502053320834,2,2,0.9985454545454544,0.2995832654154128,0.0036147324840764,0.0002360532537931,0.0092920457439032,0.0010699999999999,20.38121565746556,0.0027130552520092,0.2392397519057509,-0.08544,1570
participant_5_question_6.csv,22,0.205255,0.04659356219772,90,,0.0232208154737015,31,2,0.9996108949416342,0.2019380927564718,0.0035265272201702,0.0002520203655972,0.0090927809619828,0.00187,71.42540009446964,0.008625906101138,0.250078009798454,-0.11279,6227
participant_5_question_7.csv,35,0.2702985714285715,0.0475779789802352,133,,0.2174303767807915,25,3,0.9987829614604462,0.4061210559944351,0.0033586625013822,0.0002450808301091,0.0080699445957699,0.0029499999999999,151.68975165046896,0.0041279767001319,0.3514514616127375,0.20068,9043
participant_5_question_8.csv,12,0.3197,0.0470924180535733,43,,0.0240001975624311,6,2,0.9994855967078188,0.2685759463881693,0.0037167828162291,0.0002172449165938,0.0080636164200691,0.0011099999999999,40.569315920874445,0.0003007610983722,0.2329246648236829,0.04052,4190
participant_5_question_9.csv,39,0.2248592307692307,0.0515747537074293,138,,0.0273373278448763,53,3,0.999622641509434,0.1685491878932933,0.0034553533645981,0.0002192915488826,0.0099353340390627,0.00212,110.31344126240842,0.0002001594161984,0.2527536477953452,-0.1875,9169
participant_6_question_1.csv,70,0.2128831428571428,0.0445305371138006,183,,0.026439258951214,812,3,0.9995250910242204,0.7363133318296397,0.003778161800785,0.0003283299213299,0.0172583497177581,0.0022,195.12692262320328,0.0020507749446173,0.3747466751183412,0.06445,8152
participant_6_question_10.csv,91,0.1748151648351648,0.047933462310382,245,,0.0298726418601251,775,3,0.9995750708215296,0.6933779593927721,0.0037436455242334,0.0002636672476764,0.0163556000573802,0.002055,182.63719414202453,0.0001595257812598,0.3179093649516165,-0.22852,8088
participant_6_question_11.csv,32,0.1964571875,0.0402643099572755,82,,0.0098649603134022,554,3,0.9992311635058944,0.6817296061729197,0.0037213554481546,0.0001886296590178,0.0119422067745675,0.0016449999999999,87.5976958506925,0.0022406888340059,0.3321699634786059,0.01367,4552
participant_6_question_12.csv,90,0.2104387777777777,0.0435174256488487,230,,0.0227636095351777,1230,4,0.9995035989079176,0.7211516611912965,0.0037108515304217,0.0001989970899416,0.0122858434965296,0.001785,205.13962620405096,0.0033211952856435,0.3756840732394952,0.0600599999999999,10716
participant_6_question_13.csv,114,0.2011327192982456,0.0440608212808531,315,,0.0229327023225732,958,4,0.9996226059062177,0.8294258344328638,0.0037395401620643,0.0002581530804032,0.0156408043593705,0.00205,276.60474941468345,0.0013531864873237,0.3301229781215711,0.0874,12711
participant_6_question_14.csv,34,0.1771026470588235,0.0461834251389331,85,,0.0219909058825258,429,3,0.9988657844990548,0.7378976838531864,0.0037655318404478,0.0002385662076033,0.0163448904244216,0.0017,68.56509024464714,0.0063815703552514,0.2850247473617906,-0.18945,2858
participant_6_question_15.csv,113,0.2040970796460177,0.0458192214487606,303,,0.022576623205214,1065,4,0.9996282873338908,0.7525722681849303,0.0038143138088246,0.0002663321803267,0.0144481528741143,0.0021649999999999,265.8798570003363,0.0016690579885308,0.3246027896462251,0.2431699999999999,12941
participant_6_question_2.csv,141,0.1992529787234042,0.0432317091377523,364,,0.0188300546226653,1074,3,0.9997043169722056,0.7280402575429907,0.0037754079696394,0.0003361593636251,0.0172900761209514,0.002585,287.8481047282384,0.0036018795904617,0.3396861636976047,0.2211899999999999,13702
participant_6_question_3.csv,86,0.2056398837209301,0.0447229534780976,220,,0.0242415353341867,817,3,0.999533509563054,0.7553502083703507,0.0037620976037405,0.0003352282618623,0.0179677845076287,0.00209,195.73257441901325,0.0039489850081594,0.3782905340401611,-0.24072,8555
participant_6_question_4.csv,62,0.1918622580645161,0.0477308941573673,182,,0.0330523418043264,614,3,0.9994741454864154,0.7463075238352115,0.0038273223694714,0.0002965824408184,0.0210613824178746,0.00192,160.0576181442194,0.001962411186887,0.3549268472843615,0.04004,6263
participant_6_question_5.csv,43,0.2216790697674419,0.0435449962758855,107,,0.0151292881605653,437,3,0.9992716678805535,0.576624430780139,0.0040849093521998,0.0003070806433493,0.0187404330450284,0.0017999999999999,94.50610950611755,0.0019263365119945,0.2736896683326768,-0.0400399999999999,4523
participant_6_question_6.csv,49,0.203363469387755,0.0441499261316099,141,,0.016825774850331,750,4,0.9992486851990984,0.7066168360305969,0.0040307186147186,0.0002345291747508,0.0163134520700605,0.0020799999999999,122.8110738218018,0.0012868734671408,0.2458616709866068,0.06788,5775
