BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV
0.00000,0,8,1,0.89734,0.81664,0,0.90938,0.83796,0.05350,1245,360.16751,1,0.90039,0.82195,-0.04688,0.01666,0.62211,0.30776,0.40973,24.26473,1,0.90793,0.78805,1.02352,0.00472,1,1,0.01525,0.01124,0.60916,0.57336,0.43865,23.81648,1,0.88676,0.84523,1.02352,0.00487,1,1
0.00000,0,8,1,0.90429,0.82143,0,0.90938,0.83796,0.05991,1245,360.16751,1,0.90078,0.82190,-0.04688,0.01666,0.62211,0.30764,0.40982,24.33923,1,0.89954,0.79424,1.02352,0.00472,1,1,0.01525,0.01124,0.60916,0.57333,0.43864,23.73521,1,0.90904,0.84863,1.02352,0.00488,1,1
0.00000,0,8,1,0.89616,0.81844,0,0.90938,0.83796,0.06659,1245,360.16751,1,0.90036,0.82159,-0.04688,0.01666,0.62211,0.30737,0.40985,24.74626,1,0.89282,0.78860,1.02352,0.00473,1,1,0.01525,0.01124,0.60916,0.57326,0.43858,23.75777,1,0.89949,0.84828,1.02352,0.00484,1,1
0.00000,0,8,1,0.90029,0.81666,0,0.90938,0.83796,0.07352,1245,360.16751,1,0.90035,0.82118,-0.04890,0.01736,0.64835,0.30765,0.40980,23.77099,1,0.89423,0.78677,1.03088,0.00477,1,1,0.01561,0.01153,0.62509,0.57324,0.43855,23.86301,1,0.90635,0.84655,1.03738,0.00484,1,1
0.00000,0,8,1,0.89370,0.81164,0,0.90938,0.83796,0.07999,1245,360.16751,1,0.89984,0.82044,-0.04890,0.01736,0.64835,0.30756,0.40976,23.68283,1,0.88635,0.78396,1.04473,0.00476,1,1,0.01561,0.01153,0.62509,0.57305,0.43851,23.54620,1,0.90106,0.83932,1.05123,0.00483,1,1
0.00000,0,8,1,0.91059,0.82880,0,0.90938,0.83796,0.08691,1245,360.16751,1,0.90061,0.82104,-0.04890,0.01736,0.64835,0.30710,0.40990,24.93904,1,0.90191,0.82260,1.05858,0.00472,1,1,0.01561,0.01153,0.62509,0.57299,0.43854,23.52024,1,0.91926,0.83501,1.06508,0.00484,1,1
0.00000,0,8,1,0.91534,0.82645,0,0.90938,0.83796,0.09344,1245,360.16751,1,0.90159,0.82140,-0.04864,0.01725,0.64230,0.30704,0.40964,24.07158,1,0.90460,0.81971,1.07244,0.00473,1,1,0.01529,0.01153,0.61977,0.57268,0.43835,23.91072,1,0.92609,0.83319,1.07893,0.00479,1,1
0.00000,0,8,1,0.80267,0.69487,0,0.90938,0.83796,0.10034,1245,360.16751,1,0.89541,0.81349,-0.04864,0.01725,0.64230,0.30446,0.40764,25.60531,1,0.78957,0.66810,1.07893,0.00484,1,1,0.01529,0.01153,0.61977,0.57062,0.43611,23.53346,1,0.81577,0.72165,1.07893,0.00487,1,1
0.00000,0,8,1,0.75067,0.58771,0,0.90938,0.83796,0.10712,1245,360.16751,1,0.88690,0.80021,-0.04864,0.01725,0.64230,0.30228,0.40550,25.34604,1,0.73197,0.56050,1.07893,0.00503,1,1,0.01529,0.01153,0.61977,0.56865,0.43386,22.97147,1,0.76937,0.61492,1.07893,0.00491,1,1
0.00000,0,8,1,0.75067,0.58771,0,0.90938,0.83796,0.11353,1245,360.16751,1,0.87933,0.78841,-0.04926,0.01774,0.64285,0.30161,0.40488,25.73753,1,0.73197,0.56050,1.07893,0.00486,1,1,0.01454,0.01204,0.61966,0.56767,0.43297,23.35187,1,0.76937,0.61492,1.07893,0.00491,1,1
0.00000,0,8,1,0.64432,0.43968,0,0.90938,0.83796,0.11353,1245,360.16751,0,0.84695,0.73889,-0.04926,0.01774,0.64285,0.29917,0.40230,25.23420,1,0.64323,0.42375,1.07893,0.00484,1,1,0.01454,0.01204,0.61966,0.56456,0.43009,23.40686,1,0.64542,0.45562,1.07893,0.00483,1,1
0.00000,0,8,1,0.60396,0.35870,0,0.90938,0.83796,0.11353,1245,360.16751,0,0.72545,0.54880,-0.04926,0.01774,0.64285,0.29783,0.40092,24.11958,1,0.61020,0.35948,1.07893,0.00481,1,1,0.01454,0.01204,0.61966,0.56293,0.42887,23.19687,1,0.59771,0.35792,1.07893,0.00483,1,1
0.00000,0,8,1,0.60356,0.36309,0,0.90938,0.83796,0.11353,1245,360.16751,0,0.68482,0.48689,-0.04785,0.01738,0.61787,0.29724,0.40042,23.77103,1,0.61073,0.36412,1.07158,0.00483,1,1,0.01391,0.01251,0.62456,0.56213,0.42824,23.51768,1,0.59639,0.36207,1.07158,0.00483,1,1
0.00000,0,8,1,0.53447,0.28082,0,0.90938,0.83796,0.11353,1245,360.16751,0,0.58066,0.33420,-0.04785,0.01738,0.61787,0.29560,0.39920,23.87914,1,0.55183,0.27784,1.06422,0.00483,1,1,0.01391,0.01251,0.62456,0.55998,0.42660,23.52135,1,0.51711,0.28380,1.06422,0.00481,1,1
0.00000,0,8,1,0.50381,0.25097,0,0.90938,0.83796,0.11353,1245,360.16751,0,0.54224,0.29259,-0.04785,0.01738,0.61787,0.29466,0.39876,23.88722,1,0.51450,0.23174,1.05687,0.00483,1,1,0.01391,0.01251,0.62456,0.55897,0.42588,23.43057,1,0.49313,0.27020,1.05687,0.00481,1,1
0.00000,0,8,1,0.50438,0.25383,0,0.90938,0.83796,0.11353,1245,360.16751,0,0.52962,0.27967,-0.04832,0.01749,0.62023,0.29424,0.39853,23.67037,1,0.51564,0.23736,1.04951,0.00481,1,1,0.01379,0.01293,0.63841,0.55842,0.42562,23.67120,1,0.49312,0.27030,1.05673,0.00480,1,1
0.00000,0,8,1,0.49883,0.24787,0,0.90938,0.83796,0.11353,1245,360.16751,0,0.50234,0.25089,-0.04832,0.01749,0.62023,0.29396,0.39872,23.66452,1,0.50895,0.24197,1.05673,0.00484,1,1,0.01379,0.01293,0.63841,0.55804,0.42549,23.72101,1,0.48872,0.25378,1.06395,0.00482,1,1
0.00000,0,8,1,0.50721,0.24769,0,0.90938,0.83796,0.11353,1245,360.16751,0,0.50477,0.24929,-0.04832,0.01749,0.62023,0.29360,0.39884,24.12165,1,0.52849,0.24585,1.06395,0.00481,1,1,0.01379,0.01293,0.63841,0.55801,0.42550,23.79373,1,0.48592,0.24953,1.07117,0.00480,1,1
0.00000,0,8,1,0.50669,0.24500,0,0.90938,0.83796,0.11353,1245,360.16751,0,0.50541,0.24786,-0.04834,0.01738,0.61812,0.29343,0.39875,23.68265,1,0.52747,0.24047,1.07117,0.00482,1,1,0.01349,0.01269,0.62672,0.55792,0.42551,23.81865,1,0.48592,0.24953,1.07117,0.00480,1,1
0.00000,0,8,1,0.49306,0.22950,0,0.90938,0.83796,0.01984,1246,360.32816,1,0.50233,0.24327,-0.04834,0.01738,0.61812,0.29301,0.39875,23.97628,1,0.49441,0.22567,1.07117,0.00484,1,1,0.01349,0.01269,0.62672,0.55777,0.42534,23.63386,1,0.49171,0.23334,1.06395,0.00474,1,1
0.00000,0,8,1,0.49833,0.24183,0,0.90938,0.83796,0.02655,1246,360.32816,1,0.50153,0.24298,-0.04834,0.01738,0.61812,0.29282,0.39887,24.17307,1,0.50715,0.24556,1.06395,0.00481,1,1,0.01349,0.01269,0.62672,0.55773,0.42529,23.72398,1,0.48951,0.23811,1.05673,0.00470,1,1
0.00000,0,8,1,0.49859,0.24703,0,0.90938,0.83796,0.03345,1246,360.32816,1,0.50104,0.24366,-0.04948,0.01773,0.63030,0.29267,0.39875,23.53634,1,0.50832,0.25094,1.05673,0.00484,1,1,0.01349,0.01264,0.62672,0.55766,0.42538,23.81673,1,0.48887,0.24313,1.04951,0.00472,1,1
0.00000,0,8,1,0.49444,0.25418,0,0.90938,0.83796,0.03992,1246,360.32816,1,0.50009,0.24516,-0.04948,0.01773,0.63030,0.29242,0.39887,23.71117,1,0.51073,0.25937,1.04951,0.00478,1,1,0.01349,0.01264,0.62672,0.55756,0.42541,23.76392,1,0.47814,0.24899,1.04951,0.00473,1,1
0.00000,0,8,1,0.48739,0.25311,0,0.90938,0.83796,0.04684,1246,360.32816,1,0.49851,0.24615,-0.04948,0.01773,0.63030,0.29221,0.39891,23.81148,1,0.49777,0.25989,1.04951,0.00483,1,1,0.01349,0.01264,0.62672,0.55748,0.42537,23.81589,1,0.47701,0.24633,1.04951,0.00468,1,1
0.00000,0,8,1,0.48733,0.24533,0,0.90938,0.83796,0.05331,1246,360.32816,1,0.49726,0.24606,-0.05077,0.01814,0.64491,0.29210,0.39898,23.78963,1,0.49650,0.25443,1.05687,0.00481,1,1,0.01361,0.01294,0.63917,0.55743,0.42543,23.63118,1,0.47815,0.23623,1.06409,0.00468,1,1
0.00000,0,8,1,0.49128,0.22322,0,0.90938,0.83796,0.06003,1246,360.32816,1,0.49667,0.24378,-0.05077,0.01814,0.64491,0.29190,0.39894,23.49557,1,0.51013,0.21245,1.07144,0.00486,1,1,0.01361,0.01294,0.63917,0.55748,0.42535,23.42736,1,0.47244,0.23399,1.07866,0.00469,1,1
0.00000,0,8,1,0.49666,0.21262,0,0.90938,0.83796,0.06699,1246,360.32816,1,0.49667,0.24095,-0.05077,0.01814,0.64491,0.29183,0.39897,23.47518,1,0.51778,0.20432,1.08601,0.00480,1,1,0.01361,0.01294,0.63917,0.55745,0.42536,23.33745,1,0.47553,0.22092,1.09323,0.00469,1,1
0.00000,0,8,1,0.49639,0.20737,0,0.90938,0.83796,0.07346,1246,360.32816,1,0.49664,0.23815,-0.04893,0.01742,0.62098,0.29170,0.39898,23.72041,1,0.51671,0.19878,1.09323,0.00477,1,1,0.01361,0.01294,0.63917,0.55742,0.42552,23.47366,1,0.47606,0.21595,1.10045,0.00473,1,1
0.00000,0,8,1,0.49588,0.22236,0,0.90938,0.83796,0.08038,1246,360.32816,1,0.49658,0.23693,-0.04893,0.01742,0.62098,0.29159,0.39901,23.39045,1,0.50287,0.20999,1.09310,0.00483,1,1,0.01361,0.01294,0.63917,0.55733,0.42560,23.60515,1,0.48890,0.23473,1.09310,0.00471,1,1
