BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV
0.00000,0,15,1,0.21708,0.13334,3,0.88385,0.86759,0.30112,1124,409.00391,0,0.24277,0.14787,0.00461,0.08967,0.70619,0.51509,0.07871,15.26927,1,0.21683,0.19046,1.20701,0.00332,1,1,0.06772,0.07811,0.67103,0.76151,0.11272,17.20915,1,0.21733,0.07623,1.21600,0.00375,1,1
0.00000,0,15,1,0.25967,0.19531,0,0.88385,0.86759,0.30112,1124,409.00391,0,0.24840,0.16368,0.00461,0.08967,0.70619,0.51501,0.07883,15.56559,1,0.28188,0.27083,1.22636,0.00332,1,1,0.06772,0.07811,0.67103,0.76165,0.11263,17.30644,1,0.23747,0.11979,1.23534,0.00377,1,1
0.00000,0,13,1,0.50609,0.60359,0,0.46667,0.70741,0.17422,1146,414.10794,1,0.50874,0.60040,-0.00572,0.08448,0.68098,0.47920,0.09169,14.30007,1,0.54888,0.68012,1.22361,0.00308,1,1,0.05741,0.07791,0.65834,0.72925,0.10897,15.96818,1,0.46331,0.52706,1.22361,0.00319,1,1
0.00000,0,13,1,0.50233,0.59124,0,0.46667,0.70741,0.18091,1146,414.10794,1,0.50851,0.60008,-0.00572,0.08448,0.68098,0.47922,0.09159,14.14753,1,0.54666,0.66869,1.22361,0.00319,1,1,0.05741,0.07791,0.65834,0.72927,0.10899,16.03095,1,0.45800,0.51378,1.21462,0.00319,1,1
0.00000,0,13,1,0.50558,0.58998,0,0.46667,0.70741,0.18741,1146,414.10794,1,0.50841,0.59973,-0.00572,0.08448,0.68098,0.47922,0.09159,14.14753,1,0.55247,0.66514,1.21462,0.00319,1,1,0.05741,0.07791,0.65834,0.72922,0.10892,16.08452,1,0.45869,0.51482,1.20564,0.00319,1,1
0.00000,0,13,1,0.50505,0.59362,0,0.46667,0.70741,0.19418,1146,414.10794,1,0.50830,0.59953,-0.00572,0.08448,0.68098,0.47909,0.09169,14.77199,1,0.55247,0.66849,1.20564,0.00312,1,1,0.05741,0.07791,0.65834,0.72923,0.10895,16.17663,1,0.45764,0.51875,1.19665,0.00323,1,1
0.00000,0,13,1,0.50816,0.61322,0,0.46667,0.70741,0.20090,1146,414.10794,1,0.50829,0.59997,-0.00572,0.08448,0.68098,0.47912,0.09181,14.76979,1,0.55981,0.71544,1.19665,0.00306,1,1,0.05741,0.07791,0.65834,0.72913,0.10909,16.14863,1,0.45650,0.51101,1.19665,0.00328,1,1
0.00000,0,13,1,0.51153,0.61641,0,0.46667,0.70741,0.20874,1146,414.10794,1,0.50840,0.60048,-0.00572,0.08448,0.68098,0.47931,0.09181,14.42943,1,0.56214,0.71309,1.19665,0.00308,1,1,0.05741,0.07791,0.65834,0.72918,0.10912,15.87576,1,0.46092,0.51974,1.19665,0.00329,1,1
0.00000,0,13,1,0.51207,0.61446,0,0.46667,0.70741,0.21429,1146,414.10794,1,0.50851,0.60091,-0.00572,0.08448,0.68098,0.47931,0.09181,14.42943,1,0.56214,0.71309,1.19665,0.00308,1,1,0.05840,0.07920,0.66916,0.72932,0.10926,15.98247,1,0.46200,0.51582,1.20564,0.00327,1,1
0.00000,0,13,1,0.51488,0.61757,0,0.46667,0.70741,0.22083,1146,414.10794,1,0.50869,0.60140,-0.00572,0.08448,0.68098,0.47931,0.09181,14.42943,1,0.56717,0.72074,1.20564,0.00308,1,1,0.05840,0.07920,0.66916,0.72925,0.10925,16.15307,1,0.46260,0.51439,1.21462,0.00326,1,1
