BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV
0.00000,0,9,1,0.13666,0.12031,0,0.89167,0.86019,0.18091,2144,605.77417,1,0.12751,0.08553,-0.04269,-0.05483,0.60069,0.30956,0.78984,20.98724,1,0.14778,0.14350,1.07448,0.00442,1,1,0.01722,-0.05575,0.65439,0.56420,0.76907,19.60136,1,0.12554,0.09712,1.07448,0.00411,1,1
0.00000,0,9,1,0.20033,0.75732,0,0.89167,0.86019,0.02704,2145,606.01514,1,0.20254,0.78023,-0.04766,-0.06314,0.67621,0.31207,0.80189,21.85984,1,0.24082,0.79727,1.19411,0.00479,1,1,0.01792,-0.05757,0.65830,0.56775,0.78180,19.70882,1,0.15985,0.71738,1.18513,0.00413,1,1
0.00000,0,9,1,0.20472,0.76308,0,0.89167,0.86019,0.03351,2145,606.01514,1,0.20290,0.77738,-0.04817,-0.06374,0.68204,0.31201,0.80171,21.76620,1,0.24580,0.80195,1.17529,0.00479,1,1,0.01792,-0.05757,0.65830,0.56776,0.78179,19.74909,1,0.16365,0.72422,1.16630,0.00412,1,1
0.00000,0,9,1,0.21323,0.76521,0,0.89167,0.86019,0.03973,2145,606.01514,1,0.20438,0.77564,-0.04817,-0.06374,0.68204,0.31189,0.80175,21.92762,1,0.22459,0.80931,1.16630,0.00482,1,1,0.01792,-0.05757,0.65830,0.56775,0.78176,19.86820,1,0.20187,0.72110,1.16630,0.00414,1,1
0.00000,0,9,1,0.20273,0.77049,0,0.89167,0.86019,0.04645,2145,606.01514,1,0.20417,0.77499,-0.04817,-0.06374,0.68204,0.31187,0.80172,22.05298,1,0.21930,0.81132,1.16630,0.00479,1,1,0.01792,-0.05757,0.65830,0.56757,0.78161,19.79792,1,0.18615,0.72966,1.16630,0.00414,1,1
0.00000,0,9,1,0.20661,0.77540,0,0.89167,0.86019,0.05359,2145,606.01514,1,0.20444,0.77504,-0.04512,-0.05957,0.63747,0.31172,0.80165,21.82586,1,0.22405,0.81530,1.14990,0.00481,1,1,0.01792,-0.05767,0.65830,0.56758,0.78161,20.03359,1,0.18918,0.73551,1.14990,0.00415,1,1
0.00000,0,9,1,0.21107,0.77343,0,0.89167,0.86019,0.06018,2145,606.01514,1,0.20511,0.77488,-0.04512,-0.05957,0.63747,0.31146,0.80191,22.03236,1,0.24283,0.81506,1.13351,0.00480,1,1,0.01792,-0.05767,0.65830,0.56753,0.78164,20.13877,1,0.17931,0.73180,1.13351,0.00415,1,1
0.00000,0,9,1,0.21481,0.76766,0,0.89167,0.86019,0.06653,2145,606.01514,1,0.20599,0.77422,-0.04512,-0.05957,0.63747,0.31124,0.80192,21.71813,1,0.25637,0.81588,1.11711,0.00484,1,1,0.01792,-0.05767,0.65830,0.56738,0.78155,20.03948,1,0.17324,0.71945,1.11711,0.00413,1,1
0.00000,0,9,1,0.21686,0.77041,0,0.89167,0.86019,0.07507,2145,606.01514,1,0.20689,0.77390,-0.04627,-0.06108,0.65308,0.31123,0.80193,22.04671,1,0.25871,0.81804,1.10843,0.00485,1,1,0.01779,-0.05779,0.66086,0.56721,0.78157,19.85185,1,0.17500,0.72277,1.10843,0.00415,1,1
0.00000,0,9,1,0.19602,0.78981,0,0.89167,0.86019,0.08069,2145,606.01514,1,0.20606,0.77513,-0.04627,-0.06108,0.65308,0.31106,0.80170,22.16969,1,0.24001,0.81324,1.11615,0.00478,1,1,0.01779,-0.05779,0.66086,0.56717,0.78145,19.87302,1,0.15202,0.76639,1.11615,0.00417,1,1
